promise_id,pol_id,detail,announce_date,status
P001,10000001,ลดค่าไฟฟ้า,2024-01-01,ยังไม่เริ่ม
P002,10000001,เพิ่มเงินเดือนครู,2024-01-05,กำลังดำเนินการ
P003,10000002,พัฒนารถไฟฟ้า,2024-01-10,เงียบหาย
P004,10000002,เพิ่มพื้นที่สีเขียว,2024-01-12,กำลังดำเนินการ
P005,10000003,ลดภาษีประชาชน,2024-01-15,ยังไม่เริ่ม
P006,10000003,สร้างโรงพยาบาลใหม่,2024-01-18,เงียบหาย
P007,10000004,แจกแท็บเล็ตนักเรียน,2024-01-20,กำลังดำเนินการ
P008,10000004,พัฒนาอินเทอร์เน็ตชนบท,2024-01-22,ยังไม่เริ่ม
P009,10000005,ลดราคาน้ำมัน,2024-01-25,กำลังดำเนินการ
P010,10000005,สร้างงานใหม่,2024-01-28,เงียบหาย
